term,count,raw_examples,already_in_common_skills,already_in_analytics_ml_signals,already_in_tooling_signals,promotable,candidate_common_skill,candidate_analytics_ml_signal,candidate_tooling_signal,candidate_baseline_families
h2o,1,h2o or azure ml,False,False,False,False,False,False,False,
hadoop framework,1,hadoop framework'],False,False,False,False,False,False,False,
hadoop hbase,1,' hadoop hbase',False,False,False,False,False,False,False,
healthcare,1,' healthcare',False,False,False,False,False,False,False,
healthcare analytics,1,' healthcare analytics',False,False,False,False,False,False,False,
hiin analyst,1,['hiin analyst',False,False,False,False,False,False,False,
hortonworks,1,apache spark or kubernetes or hortonworks or hadoop,False,False,False,False,False,False,False,
hypothesis generation,1,data modeling and hypothesis generation,False,False,False,False,False,False,False,
ibm spss,1,ibm spss and sas tools,False,False,False,False,False,False,False,
id,1,id,False,False,False,False,False,False,False,
idl,1,big data management tools i e informatica bdm/idl/eic/idq,False,False,False,False,False,False,False,
idq,1,big data management tools i e informatica bdm/idl/eic/idq,False,False,False,False,False,False,False,
ieor,1,' ieor'],False,False,False,False,False,False,False,
impala,1,hdfs/ hive/ impala,False,False,False,True,False,False,True,
including distributions,1,' including distributions',False,False,False,False,False,False,False,
including python,1,' including python',False,False,False,False,False,False,False,
infrastructure design,1,infrastructure/platform design,False,False,False,False,False,False,False,
insurance,1,' insurance'],False,False,False,False,False,False,False,
integration service ssis,1,' integration service (ssis)',False,False,False,False,False,False,False,
iterative development,1,' iterative development',False,False,False,False,False,False,False,
jda software,1,' jda software'],False,False,False,False,False,False,False,
jdbc,1,' jdbc',False,False,False,False,False,False,False,
jira,1,business analyst data scientist r python jira github tableau powerbi statistics,False,False,False,False,False,False,False,
kafka,1,['kafka',False,False,False,False,False,False,False,
kaggle,1,' kaggle',False,False,False,False,False,False,False,
kdb,1,'kdb',False,False,False,False,False,False,False,
kubernates,1,' kubernates',False,False,False,False,False,False,False,
kubernetes,1,apache spark or kubernetes or hortonworks or hadoop,False,False,True,False,False,False,False,
labeling,1,' labeling',False,False,False,False,False,False,False,
laboratory,1,' laboratory',False,False,False,False,False,False,False,
lambda functions,1,' lambda functions',False,False,False,False,False,False,False,
lambda tier,1,' lambda tier',False,False,False,False,False,False,False,
life-sciences,1,' life-sciences',False,False,False,False,False,False,False,
linear,1,' linear',False,False,False,False,False,False,False,
linear regression,1,linear regression,False,False,False,True,False,True,False,classical_ml_methods
load,1,load,False,False,False,False,False,False,False,
logging systems,1,' logging systems',False,False,False,False,False,False,False,
looker,1,' looker',True,False,True,False,False,False,False,
mach,1,' mach'],False,False,False,False,False,False,False,
machine leaning,1,' machine leaning'],False,False,False,False,False,False,False,
machine learning - data scientist,1,' machine learning - data scientist',False,False,False,False,False,False,False,model_development_basics
machine learning - dynamic pricing,1,' machine learning - dynamic pricing',False,False,False,False,False,False,False,model_development_basics
machine learning - python,1,' machine learning - python',False,False,False,True,False,True,True,model_development_basics
machine learning aml python,1,' machine learning (aml)python',False,False,False,True,False,True,True,model_development_basics
machine learning and artificial intelligence and rafa,1,['(machine learning ) and (artificial intelligence ) and (rafa )'],False,False,False,False,False,False,False,model_development_basics
machine learning and statistical modeling techniques,1,['machine learning and statistical modeling techniques',False,False,False,False,False,False,False,model_development_basics
machine learning and tensorflow and statistical model,1,['machine learning and tensorflow and statistical model'],False,False,False,False,False,False,False,model_development_basics
machine learning jda software,1,' machine learning jda software'],False,False,False,True,False,True,False,model_development_basics
machine learning ml,1,' machine learning (ml)'],False,False,False,True,False,True,False,model_development_basics
machine learning python sql / nosql databases,1,['machine learning python sql / nosql databases',False,False,False,False,False,False,False,model_development_basics
machine learning tools like spark mlib,1,' machine learning tools like spark mlib',False,False,False,False,False,False,False,model_development_basics
machine learning/data science/data scientist,1,' machine learning/data science/data scientist',False,False,False,False,False,False,False,model_development_basics
mahout,1,' mahout',False,False,False,False,False,False,False,
marketing analysis,1,' marketing analysis',False,False,False,True,False,False,False,
marketing data scientist/analyst,1,['marketing data scientist/analyst'],False,False,False,False,False,False,False,
marketing technologies,1,['marketing technologies',False,False,False,False,False,False,False,
master data management analyst,1,' master data management analyst'],False,False,False,False,False,False,False,
materials,1,' materials',False,False,False,False,False,False,False,
mathematica,1,' mathematica'],False,False,False,False,False,False,False,
mathematical models,1,' mathematical models',False,False,False,True,False,False,False,
mdm,1,' mdm'],False,False,False,False,False,False,False,
mdm analyst,1,['mdm analyst',False,False,False,False,False,False,False,
microservices,1,' microservices',False,False,False,False,False,False,False,
microsoft,1,' microsoft',False,False,False,False,False,False,False,
microsoft azure,1,' microsoft azure',False,False,False,False,False,False,False,
microsoft excel,1,' microsoft excel',False,False,False,False,False,False,False,
microsoft powerbi,1,' microsoft powerbi',False,False,False,False,False,False,False,
microstrategy,1,' microstrategy',False,False,False,False,False,False,False,
middleware,1,' middleware',False,False,False,False,False,False,False,
mllib,1,' mllib',False,False,False,False,False,False,False,
modeanalytics,1,' modeanalytics',False,False,False,False,False,False,False,
modeling - python,1,' modeling - python',False,False,False,True,False,True,True,
modeling-and-simulation,1,' modeling-and-simulation',False,False,False,False,False,False,False,
models,1,ai and ml models,False,False,False,False,False,False,False,
mongo,1,' mongo',False,False,False,False,False,False,False,
ms sql,1,['ms sql',False,False,False,False,False,False,False,
ms/phd,1,['ms/phd',False,False,False,False,False,False,False,
n/a,1,['n/a'],False,False,False,False,False,False,False,
naive bayes classifier,1,' naive bayes classifier',False,False,False,False,False,False,False,
natural language,1,['natural language',False,False,False,False,False,False,False,
natural programmer,1,' natural programmer',False,False,False,False,False,False,False,
netezza,1,' netezza',False,False,False,False,False,False,False,
network/ security,1,' network/ security',False,False,False,False,False,False,False,
networking,1,' networking',False,False,False,False,False,False,False,
networking architecture,1,' networking architecture',False,False,False,False,False,False,False,
neural,1,' neural'],False,False,False,False,False,False,False,
neuro networks,1,' neuro networks',False,False,False,False,False,False,False,
nlp and text analytics,1,' nlp and text analytics',False,False,False,False,False,False,False,
nlp natural language processing git r matlab,1,['nlp(natural language processing) git r matlab'],False,False,False,False,False,False,False,version_control
nltk,1,' nltk',False,False,False,False,False,False,False,
node,1,'node',False,False,False,False,False,False,False,
nosql dynamodb/cassandra/mongodb,1,' nosql (dynamodb/cassandra/mongodb)',False,False,False,False,False,False,False,
numerical optimization,1,' numerical optimization',False,False,False,False,False,False,False,
operating,1,' operating',False,False,False,False,False,False,False,
operations,1,' operations'],False,False,False,False,False,False,False,
operations - r,1,' operations - r',False,False,False,False,False,False,False,
operations analysis,1,' operations analysis',False,False,False,True,False,False,False,
optimization,1,' optimization',False,False,False,False,False,False,False,
or other scripting languages,1,' or other scripting languages',False,False,False,False,False,False,False,
or recommender systems,1,' or recommender systems',False,False,False,False,False,False,False,
oracle marketing suite,1,' oracle marketing suite'],False,False,False,False,False,False,False,
organization transformation,1,' organization transformation',False,False,False,False,False,False,False,
performance,1,' performance',False,False,False,False,False,False,False,
phd required,1,['phd required',False,False,False,False,False,False,False,
pig - python,1,' pig - python',False,False,False,False,False,False,False,
pl/sql,1,['pl/sql',False,False,False,False,False,False,False,
platform design,1,infrastructure/platform design,False,False,False,False,False,False,False,
postgres,1,' postgres',False,False,False,False,False,False,False,
postgres kafka,1,' postgres) kafka'],False,False,False,False,False,False,False,
power bi,1,' power bi',True,False,True,False,False,False,False,
powerbi,1,business analyst data scientist r python jira github tableau powerbi statistics,False,False,False,False,False,False,False,
powerpoint,1,' powerpoint',False,False,False,False,False,False,False,
predictive modelling,1,'predictive modelling',False,False,False,False,False,False,False,
predictive models,1,building predictive models - r,False,False,False,True,False,True,False,
predictive-analytics,1,' predictive-analytics',False,False,False,False,False,False,False,
presto,1,' presto'],False,False,False,False,False,False,False,
presto - kafka,1,' presto - kafka',False,False,False,False,False,False,False,
process reengineering,1,' process reengineering',False,False,False,False,False,False,False,
product development,1,sales or product development function within a data driven organization,False,False,False,False,False,False,False,
programmer,1,' programmer',False,False,False,False,False,False,False,
protocols,1,' protocols',False,False,False,False,False,False,False,
public cloud,1,' public cloud',False,False,False,False,False,False,False,
puppet,1,' puppet',False,False,False,False,False,False,False,
pydata,1,['pydata',False,False,False,False,False,False,False,
pyspark hadoop,1,' pyspark hadoop',False,False,False,False,False,False,False,
pythin,1,['pythin',False,False,False,False,False,False,False,
python - aws,1,' python - aws',False,False,False,False,False,False,False,
python - data science,1,' python - data science',False,False,False,False,False,False,False,
python - machine learning,1,' python - machine learning',False,False,False,True,False,True,True,model_development_basics
python and,1,['python and ('],False,False,False,False,False,False,False,
python and spark,1,python & spark,False,False,False,False,False,False,False,
python including numpy,1,' python (including numpy',False,False,False,False,False,False,False,
python r scala sql,1,['python r scala sql'],False,False,False,False,False,False,False,
python software developer background,1,['python software developer background,False,False,False,False,False,False,False,
python/java/c,1,['python/java/c#',False,False,False,False,False,False,False,
python/r,1,' python/r'],False,False,False,False,False,False,False,
python/r/sas,1,['python/r/sas'],False,False,False,False,False,False,False,
pyton,1,' pyton',False,False,False,False,False,False,False,
pytorch,1,' pytorch',True,False,True,False,False,False,False,
qa,1,' qa',False,False,False,False,False,False,False,
qlikview,1,' qlikview'],False,False,False,False,False,False,False,
quality,1,' quality',False,False,False,False,False,False,False,
quality assurance,1,' quality assurance',False,False,False,False,False,False,False,
quantitative analyst,1,' quantitative analyst'],False,False,False,False,False,False,False,
quantitative and mathematical proficiency,1,' quantitative and mathematical proficiency'],False,False,False,False,False,False,False,
quantitative business problem solving,1,' quantitative business problem solving',False,False,False,False,False,False,False,
quantitative researcher-equities,1,['quantitative researcher-equities'],False,False,False,False,False,False,False,
r and/or python,1,' r and/or python'],False,False,False,False,False,False,False,
r etc,1,' r etc.'],False,False,False,False,False,False,False,
r programming,1,' r programming',False,False,False,False,False,False,False,
r required,1,['r required,False,False,False,False,False,False,False,
r studio,1,' r studio'],False,False,False,False,False,False,False,
r/python,1,' r/python'],False,False,False,False,False,False,False,
r/python programming,1,['r/python programming',False,False,False,False,False,False,False,
rabbitmq,1,' rabbitmq'],False,False,False,False,False,False,False,
rapidminer,1,' rapidminer'],False,False,False,False,False,False,False,
rational,1,' rational',False,False,False,False,False,False,False,
raw skills,1,raw_skills,False,False,False,False,False,False,False,
rdbms,1,' rdbms'],False,False,False,False,False,False,False,
rdbms - python,1,' rdbms - python',False,False,False,False,False,False,False,
rdms,1,' rdms',False,False,False,False,False,False,False,
recommendation,1,' recommendation'],False,False,False,False,False,False,False,
redshift - data scientist,1,' redshift - data scientist',False,False,False,False,False,False,False,
redshift is a plus,1,' redshift is a plus.'],False,False,False,False,False,False,False,
reinforcement learningm probabistic inference,1,' reinforcement learningm probabistic inference',False,False,False,True,False,False,False,
report,1,' report',False,False,False,False,False,False,False,
reporting and etl,1,'reporting&etl',False,False,False,False,False,False,False,
reporting service ssrs,1,' reporting service (ssrs)',False,False,False,False,False,False,False,
rnn,1,' rnn',False,False,False,False,False,False,False,
robotics,1,' robotics',False,False,False,False,False,False,False,
saas,1,['saas',False,False,False,False,False,False,False,
sagemaker,1,' sagemaker',False,False,False,False,False,False,False,
sap isu,1,' sap isu',False,False,False,False,False,False,False,
sas or pytho,1,' sas or pytho'],False,False,False,False,False,False,False,
sas or python,1,' sas or python'],False,False,False,False,False,False,False,
scala or c++,1,' scala or c++)'],False,False,False,False,False,False,False,
scalanltk,1,' scalanltk',False,False,False,False,False,False,False,
scheduling,1,' scheduling',False,False,False,False,False,False,False,
scikit-learn data visualization matplotlib,1,' scikit-learn data visualization (matplotlib',False,False,False,False,False,False,False,
scipy and pandas,1,' scipy & pandas)',False,False,False,False,False,False,False,
scripting,1,jquery/javascript programming including scripting / coding,False,False,False,False,False,False,False,
sdlc,1,' sdlc',False,False,False,False,False,False,False,
seaborn,1,' seaborn',False,False,False,False,False,False,False,
see job description,1,['see job description'],False,False,False,False,False,False,False,
semi-supervised label propagation,1,' semi-supervised (label propagation)',False,False,False,False,False,False,False,
senior manager,1,' senior manager',False,False,False,False,False,False,False,
sgml,1,' sgml'],False,False,False,False,False,False,False,
shell,1,bash/shell,False,False,False,False,False,False,False,
sme in statistics,1,['sme in statistics',False,False,False,False,False,False,False,
snowflake,1,' snowflake',True,False,True,False,False,False,False,
software development,1,' software development',False,False,False,False,False,False,False,
solutions implementation,1,' solutions implementation',False,False,False,False,False,False,False,
sosql,1,' sosql',False,False,False,False,False,False,False,
spark - big data,1,' spark - big data',False,False,False,False,False,False,False,
spark - machine learning,1,' spark - machine learning',False,False,False,True,False,True,True,model_development_basics
spark or alteryx,1,' spark or alteryx',False,False,False,False,False,False,False,
sparks,1,' sparks',False,False,False,False,False,False,False,
splunk,1,' splunk',False,False,False,False,False,False,False,
sprocs,1,' sprocs',False,False,False,False,False,False,False,
spss or even r,1,' spss or even r',False,False,False,False,False,False,False,
sql - full stack,1,' sql - full stack',False,False,False,False,False,False,False,
sql and relational databases,1,' sql and relational databases',False,False,False,True,False,False,True,
sql data engineer,1,' sql data engineer',False,False,False,False,False,False,False,
sql oracle,1,' sql (oracle',False,False,False,False,False,False,False,
sql python etl,1,['sql python etl'],False,False,False,False,False,False,False,
sql tableau marketing analysis,1,['sql tableau marketing analysis'],False,False,False,True,False,False,True,
stanford,1,' stanford',False,False,False,False,False,False,False,
stanford corenlp,1,' stanford corenlp',False,False,False,False,False,False,False,
statistical analysis/modeling,1,' statistical analysis/modeling'],False,False,False,True,False,True,False,
statistical computer language,1,' statistical computer language',False,False,False,False,False,False,False,
statistical testing,1,' statistical testing',False,False,False,False,False,False,False,
statistical/machine learning algorithms,1,' statistical/machine learning algorithms'],False,False,False,True,False,True,False,model_development_basics
statistical/machine learning algorithms - machine learning,1,' statistical/machine learning algorithms - machine learning',False,False,False,False,False,False,False,model_development_basics
statistics or data modeling,1,' statistics or data modeling'],False,False,False,True,False,True,False,
statistics/data modeling,1,' statistics/data modeling',False,False,False,True,False,True,False,
stats,1,' stats',False,False,False,False,False,False,False,
stochastic simulation,1,' stochastic simulation',False,False,False,False,False,False,False,
strategic planning,1,'strategic planning ',False,False,False,False,False,False,False,
strategy,1,' strategy',False,False,False,False,False,False,False,
structured and unstructured data,1,' structured and unstructured data',False,False,False,False,False,False,False,
such as k-nn,1,' such as k-nn'],False,False,False,False,False,False,False,
supplier campaign tracking,1,'supplier campaign tracking',False,False,False,False,False,False,False,
supply chain forecasting,1,'  supply chain forecasting',False,False,False,False,False,False,False,
svm,1,' svm',True,True,False,False,False,False,False,classical_ml_methods
sybase,1,' sybase',False,False,False,False,False,False,False,
system programming,1,system programming,False,False,False,False,False,False,False,
systems,1,' systems'],False,False,False,False,False,False,False,
t ad hoc reporting,1,'\t ad hoc reporting',False,False,False,False,False,False,False,
t financial,1,'\t financial',False,False,False,False,False,False,False,
t small business,1,' \t small business'],False,False,False,False,False,False,False,
t spend analysis,1,'\t spend analysis',False,False,False,True,False,False,False,
t-sql,1,' t-sql',False,False,False,False,False,False,False,
tableu,1,' tableu',False,False,False,False,False,False,False,
teaching,1,prior teaching experience not essential,False,False,False,False,False,False,False,
teaching technical concepts,1,' teaching technical concepts'],False,False,False,False,False,False,False,
telecom,1,' telecom'],False,False,False,False,False,False,False,
telecommunications,1,' telecommunications',False,False,False,False,False,False,False,
tensor flow,1,' tensor flow',False,False,False,False,False,False,False,
terraform,1,' terraform',False,False,False,False,False,False,False,
test,1,' test',False,False,False,False,False,False,False,
test ng/selenium,1,' test ng/selenium',False,False,False,False,False,False,False,
test plan,1,' test plan',False,False,False,False,False,False,False,
tibco,1,' tibco',False,False,False,False,False,False,False,
toolkits like pandas,1,' (toolkits like pandas',False,False,False,False,False,False,False,
transformation,1,' transformation',False,False,False,False,False,False,False,
trend analysis,1,' trend analysis',False,False,False,True,False,False,False,
typescript,1,' typescript',False,False,False,False,False,False,False,
umls,1,expert level understanding of the umls,False,False,False,False,False,False,False,
unit testing,1,team setting including git and unit testing,False,False,False,False,False,False,False,
unsupervised clustering,1,'  unsupervised (clustering)',False,False,False,False,False,False,False,classical_ml_methods
url,1,url,False,False,False,False,False,False,False,
user interface,1,' user interface'],False,False,False,False,False,False,False,
ux,1,' ux',False,False,False,False,False,False,False,
vertica,1,' vertica',False,False,False,False,False,False,False,
watson,1,['watson',False,False,False,False,False,False,False,
watson data studio,1,' watson data studio'],False,False,False,False,False,False,False,
watson discovery,1,' watson discovery',False,False,False,False,False,False,False,
web developer,1,' web developer'],False,False,False,False,False,False,False,
webservices,1,webservices'],False,False,False,False,False,False,False,
wps,1,wps or spss or python prefer sql server,False,False,False,False,False,False,False,
wrangle,1,' wrangle',False,False,False,False,False,False,False,
xgboot,1,' xgboot',False,False,False,False,False,False,False,
xslt,1,' xslt'],False,False,False,False,False,False,False,
